ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
61.47,22.22,7.48,30.41,11.92,4.17,40.69,15.51,5.35
42.86,18.18,9.26,22.86,9.62,4.85,29.81,12.58,6.37
65.55,25.42,9.4,30.53,12.89,4.46,41.66,17.11,6.05
55.88,35.82,22.73,23.31,14.81,9.32,32.9,20.96,13.22
54.63,14.95,7.55,30.71,10.79,5.8,39.32,12.54,6.56
61.29,18.18,7.84,27.49,8.62,3.81,37.96,11.7,5.13
57.14,16.55,6.52,30.4,9.24,3.63,39.69,11.86,4.66
66.39,28.93,10.0,30.97,12.0,4.91,42.24,16.96,6.59
64.17,14.29,0.85,31.22,7.27,0.46,42.0,9.64,0.59
55.12,11.9,0.0,22.08,5.86,0.0,31.53,7.85,0.0
