ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
61.47,23.15,7.48,30.41,12.44,4.17,40.69,16.18,5.35
42.86,18.18,9.26,22.86,9.62,4.85,29.81,12.58,6.37
63.87,22.88,6.84,29.39,11.45,3.1,40.25,15.27,4.26
55.88,35.82,22.73,23.31,14.81,9.32,32.9,20.96,13.22
54.63,14.95,7.55,31.47,10.56,5.67,39.93,12.38,6.48
61.29,18.18,7.84,27.49,8.62,3.81,37.96,11.7,5.13
57.14,16.55,6.52,30.4,9.24,3.63,39.69,11.86,4.66
68.03,28.1,9.17,27.56,10.28,3.97,39.23,15.05,5.54
64.17,14.29,0.85,31.22,7.27,0.46,42.0,9.64,0.59
58.27,12.7,0.8,22.45,6.15,0.41,32.41,8.28,0.54
62.6,18.03,5.79,19.77,6.03,2.02,30.05,9.04,2.99
63.48,17.54,1.77,30.21,8.9,1.05,40.94,11.81,1.32
51.09,7.69,1.11,24.22,4.38,0.63,32.86,5.58,0.8
44.09,14.29,2.4,36.43,12.23,2.17,39.9,13.18,2.28
30.61,8.33,0.0,17.5,5.06,0.0,22.27,6.3,0.0
33.72,8.24,3.57,25.69,6.48,2.8,29.16,7.25,3.14
57.63,17.24,5.26,34.09,11.49,3.49,42.84,13.79,4.2
47.67,9.94,2.94,30.84,6.57,2.36,37.45,7.91,2.62
54.55,18.37,10.31,34.95,14.71,8.91,42.6,16.33,9.56
45.9,23.33,16.95,25.27,15.56,11.24,32.6,18.67,13.51
57.8,15.74,3.74,20.43,6.99,1.75,30.19,9.68,2.39
57.66,20.91,10.09,15.66,5.79,3.04,24.63,9.06,4.67
48.81,18.07,3.66,26.71,8.28,2.08,34.53,11.35,2.65
75.36,44.53,26.47,39.76,22.58,13.77,52.06,29.96,18.11
28.04,6.6,3.81,41.86,11.9,7.32,33.58,8.5,5.01
75.53,47.31,25.0,29.41,17.73,10.5,42.34,25.79,14.79
63.1,25.81,12.97,44.5,18.75,9.66,52.19,21.72,11.08
61.05,17.02,3.23,27.72,7.65,1.65,38.13,10.56,2.18
29.75,10.83,5.88,14.29,5.49,2.97,19.3,7.28,3.94
73.98,42.62,24.79,27.1,15.21,9.42,39.67,22.42,13.65
51.96,10.89,1.0,27.68,5.68,0.57,36.12,7.47,0.73
44.44,27.5,24.05,28.93,18.33,15.97,35.04,22.0,19.19
52.63,28.72,20.43,30.56,16.78,13.38,38.66,21.19,16.17
53.97,17.6,2.42,21.82,5.84,1.1,31.07,8.77,1.51
42.34,17.27,8.26,51.19,19.28,7.32,46.35,18.22,7.76
60.0,32.46,17.7,42.57,23.81,13.7,49.8,27.47,15.44
