ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
61.47,23.15,7.48,30.41,12.44,4.17,40.69,16.18,5.35
63.87,22.88,6.84,29.39,11.45,3.1,40.25,15.27,4.26
61.29,18.18,7.84,27.49,8.62,3.81,37.96,11.7,5.13
68.03,28.1,9.17,27.56,10.28,3.97,39.23,15.05,5.54
62.6,18.03,5.79,19.77,6.03,2.02,30.05,9.04,2.99
47.67,9.94,2.94,30.84,6.57,2.36,37.45,7.91,2.62
57.8,15.74,3.74,20.43,6.99,1.75,30.19,9.68,2.39
57.66,20.91,10.09,15.66,5.79,3.04,24.63,9.06,4.67
51.96,10.89,1.0,27.68,5.68,0.57,36.12,7.47,0.73
33.9,3.45,0.0,21.11,2.25,0.0,26.02,2.72,0.0
60.0,32.46,17.7,42.57,23.81,13.7,49.8,27.47,15.44
52.99,6.9,0.87,23.43,3.36,0.42,32.49,4.52,0.57
62.5,26.95,15.66,17.74,8.33,4.82,27.64,12.73,7.38
54.05,6.8,2.05,14.6,2.22,0.67,22.99,3.34,1.01
72.0,41.61,27.7,33.46,19.31,14.34,45.69,26.37,18.9
42.31,10.32,3.9,31.17,9.8,3.29,35.89,10.06,3.57
57.14,17.31,3.88,27.75,7.89,1.59,37.36,10.84,2.25
50.0,12.73,1.85,19.57,4.38,0.74,28.12,6.52,1.05
59.43,25.71,18.27,32.8,14.59,10.33,42.27,18.62,13.19
42.06,6.4,1.61,22.71,3.88,0.98,29.49,4.83,1.22
80.88,44.78,27.27,31.68,15.62,11.32,45.52,23.17,16.0
53.01,21.95,9.88,43.48,18.68,7.78,47.77,20.18,8.7
68.12,35.22,20.89,32.42,15.75,9.97,43.94,21.77,13.49
52.67,16.92,4.65,17.27,5.03,1.12,26.01,7.75,1.81
